시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 양천구 신정동,922-18,922,18,엠버하우스,34.38,17.85,202207,28,"26,500",6,2016,오목로 155-3,,중개거래,서울 양천구
서울특별시 양천구 신정동,922-18,922,18,엠버하우스,34.38,17.85,202304,3,"26,900",6,2016,오목로 155-3,,중개거래,서울 양천구
서울특별시 양천구 신정동,929-4,929,4,예지쉐르빌(929-4)(19차),60.48,28.08,202206,8,"34,300",3,2002,오목로25길 8,,중개거래,서울 양천구
서울특별시 양천구 신정동,888-31,888,31,예지쉐르빌16차,78.42,38.53,202208,11,"49,300",3,2002,신정중앙로21길 2-6,,중개거래,서울 양천구
서울특별시 양천구 신정동,931-9,931,9,예지쉐르빌4차,95.32,43.62,202205,13,"32,000",1,2000,중앙로54길 27,,중개거래,서울 양천구
서울특별시 양천구 신정동,979-18,979,18,예지쉐르빌65차,51.59,31.98,202208,19,"34,500",1,2012,은행정로7길 16-5,,직거래,-
서울특별시 양천구 신정동,950-5,950,5,오복하이츠빌라,51.66,25.96,202206,22,"36,000",2,1991,오목로38길 6,,중개거래,"서울 양천구, 서울 용산구"
서울특별시 양천구 신정동,119-4,119,4,오성트래빌,62.48,37.41,202208,16,"39,300",1,2010,신목로6길 36,,중개거래,서울 양천구
서울특별시 양천구 신정동,128-76,128,76,오성트레빌가동,33.57,20.14,202212,1,"24,850",4,2002,신목로6길 6-7,,중개거래,서울 양천구
서울특별시 양천구 신정동,880-13,880,13,우림연립,67.36,34.9,202209,15,"39,000",3,1996,은행정로19가길 6,,중개거래,서울 양천구
서울특별시 양천구 신정동,880-13,880,13,우림연립,67.36,34.9,202209,15,"39,000",3,1996,은행정로19가길 6,20221020,중개거래,서울 양천구
서울특별시 양천구 신정동,281-9,281,9,우성빌라,35.1,23.63,202206,15,"24,000",2,1992,신목로5길 23-3,,중개거래,서울 양천구
서울특별시 양천구 신정동,956-10,956,10,우성하임,29.75,18.06,202209,1,"27,300",3,2015,중앙로46길 63,,중개거래,서울 양천구
서울특별시 양천구 신정동,946-15,946,15,우진맨션,50.08,32.52,202206,23,"46,000",5,2003,오목로 148-42,,중개거래,서울 양천구
서울특별시 양천구 신정동,946-15,946,15,우진맨션,50.08,32.52,202303,10,"33,000",2,2003,오목로 148-42,,중개거래,서울 양천구
서울특별시 양천구 신정동,1000-16,1000,16,월드빌라나동,66.99,31.74,202206,4,"49,000",4,2003,목동로19길 27,,중개거래,서울 양천구
서울특별시 양천구 신정동,960-35,960,35,은행롱빌라,57.08,31.51,202205,17,"41,500",3,1992,오목로38길 13-4,,중개거래,서울 양천구
서울특별시 양천구 신정동,946-24,946,24,은행정빌라(946-24),42.9,25.97,202302,25,"26,000",-1,1991,중앙로48길 23,,중개거래,서울 양천구
서울특별시 양천구 신정동,919-11,919,11,이호빌,36.5,23.49,202207,6,"28,300",2,2010,은행정로17길 32,,중개거래,서울 양천구
서울특별시 양천구 신정동,919-11,919,11,이호빌,40.42,26,202304,24,"26,500",2,2010,은행정로17길 32,,중개거래,서울 양천구
서울특별시 양천구 신정동,944-7,944,7,이호빌(944-7),35.17,21.78,202205,30,"26,000",2,2011,오목로24길 7,,중개거래,서울 양천구
서울특별시 양천구 신정동,925-26,925,26,이호트라움10차,43.21,26.53,202206,4,"29,500",5,2015,오목로29길 12-2,,중개거래,서울 양천구
서울특별시 양천구 신정동,1023-2,1023,2,이화쉐르빌(1023-2),49.83,24.35,202210,24,"28,000",2,2002,은행정로1길 11,,중개거래,서울 양천구
서울특별시 양천구 신정동,927-2,927,2,인터시티빌라(927-2),61.53,31.39,202206,10,"21,000",-1,2000,신정중앙로10길 7,20220926,중개거래,서울 양천구
서울특별시 양천구 신정동,927-2,927,2,인터시티빌라(927-2),61.53,31.39,202211,21,"21,000",-1,2000,신정중앙로10길 7,,중개거래,서울 양천구
서울특별시 양천구 신정동,932-17,932,17,자라하우스,29.73,17.19,202206,14,"19,000",1,2011,신정중앙로6길 1,,중개거래,서울 양천구
서울특별시 양천구 신정동,932-17,932,17,자라하우스,28.55,15.67,202208,26,"19,000",4,2011,신정중앙로6길 1,,직거래,-
서울특별시 양천구 신정동,1010-2,1010,2,장백빌라가동,52.995,24.93,202205,21,"29,500",4,1993,목동로9길 17-1,,중개거래,"서울 양천구, 인천 계양구"
서울특별시 양천구 신정동,1002-7,1002,7,장안빌라,42.76,20.47,202206,1,"25,850",5,2004,오목로48길 22,,중개거래,서울 양천구
